English,Arabic,Description,URL
"resolve", "1 يَميز؛ 2 يَميز، 3 يحوّل [العنوان]","1- يطابقُ معلومةً في قاعدة معطيات (أو جدول بحث) مع معلومة أخرى. 2- يَجِدُ الإعداداتِ الكفيلةَ بعدم حدوث تضارب في العتاديات. 3- يحوِّلُ عنواناً منطقياً إلى عنوانٍ حقيقي وبالعكس.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4001
"resource", "1 مَوْرِد ؛ 2 مَوْرِد","1- أيُّ جزءٍ من نظامٍ حاسوبي (أو شبكة) يحصَّصُ لبرنامجٍ أو إجرائية خلال تنفيذه، كمِسْوَقِ قرصٍ disk drive أو طابعةٍ أو ذاكرة. 2- بندُ معطياتٍ (أو رِمَاز code) يمكِن استخدامُه في عدة برامجَ أو عدة مواضع من برنامجٍ واحد، كصندوق حوار أو مؤثر صوتي أو بنط من بيئة النوافذ. يمكِن تغييرُ العديد من السماتِ المستخدَمةِ في برنامجٍ بإضافةِ الموارد أو تبديلها دون إعادةِ نصريف compile الرمازِ المصْدري للبرنامج. يمكِن أيضاً نسْخُ المواردِ نَسْخاً نظامياً بين البرامج (نسْخ ثم لصْق) بواسطة نافعةٍ utility مخصّصةٍ تسمّى محرِّر الموارد resource editor.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4002
"resource allocation", "تَحْصيصُ الموارد","إجرائيةُ توزيعِ تسهيلات نظامٍ حاسوبي على المكوِّنات المختلفة لمهمة معيّنة بغية تنفيذها.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4003
"resource data", "معطياتُ المَوْرد","بنى معطيات، وقوالبُ، وإجراءاتُ تعريفٍ، ومَسَاقَاتُ routines تدبيرٍ، وطباقات قُوَنٍ icons،... ترتبط بمَوْردٍ معيّن، كقائمة خيارات أو نافذة أو صندوق حوار.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4004
"resource file", "ملفُ [معطيات] المَوْرد","ملفٌّ مكوَّنٌ من معطياتِ موارد، وطباق الموارد التي تفهرسها.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4005
"resource fork", "تشعّب الموارد","أحدُ تَشعّبَي ملفّ في Apple Macintosh (التشعب الآخر هو تشعّب المعطيات data fork). يَتضمَّن تَشعّبُ المواردِ الخاصّ بملفٍّ تنفيذيّ معلوماتٍ قابلةً لإعادةِ الاستخدام أثناء تنفيذ البرنامج، مثل البنوط، والقُوَن icons، والنوافذ، وصناديق الحوار، وقوائم الاختيار، ورماز البرنامج ذاته. تُخزِّن وثيقةُ المستخدِمِ عادةً المعطياتِ الخاصةَ بها في تَشعّبِ المعطيات، وتستطيعُ أيضاً استخدامَ تَشعّب مواردِها لتخزين الأغراض التي قد تُستخدَمُ مرةً (أو أكثر) في الوثيقة. ففي مكدس HyperCard مثلاً، تُخزَّنُ في تَشعّبِ المعطياتِ المعطياتُ التي تحويها كلُّ بطاقةٍ من بطاقاتِ المكدس (أو كلُّ تسجيلة record)، وتخزَّنُ في تَشعّبِ الموارد الأصواتُ المرقْمَنَةُ والقُوَنُ التي قد تُستخدَمُ مرةً (أو أكثر). يُسهِّلُ استخدامُ هذه الموارد عمليةَ تطوير البرنامج، إذ يمكِن تطويرُ الموارد وتغييرُها بكيفية مستقلّةٍ عن رِمَازِ البرنامج.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4006
"resource ID", "هُويةُ المَوْرد","رقْمٌ يحدِّدُ في Apple Macintosh هُويّةَ مَوْردٍ معيّن له نوعٌ معطى - مثلاً قائمة خيارات محددة من عدة موارد من نوع MENU قد يَستخدِمُها البرنامج.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4007
"Resource Reservation Protocol", "ميفاق حجزِ الموارد","مختصره: RRP أو RSVP. ميفاقُ اتصالاتٍ مصمَّمٌ لتقديم خدمةِ 'عرض الحزمة حسب الطلب Bandwidth on Demand' حيث يَطلبُ مستقبِلٌ بعيدٌ من المخدِّمِ حجْزَ عرضِ حزمةٍ معيّن لدفق معطياته، ويجيب المخدِّمُ برسالةٍ (مشابهة لرسالة RSVP المرسَلة استجابةً لدعوةٍ ما) تُشير فيما إذا كان الطلب قد استُجيب له أم لا.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4008
"resource type", "نوعُ المَوْرد","صفٌّ من صفوفِ الموارد البنيوية والإجرائية المتعددة في نظام تشغيل Macintosh، كالرِّمَازِ code، والبنوطِ، والنوافذِ، وصناديقِ الحوار، والقوالب، والقُوَنِ icons، والأشكالِ النمطية، ومتوالياتِ المحارف، والسَّواقَاتِ drivers، والمنْزلقات cursors، وجداولِ الألوان، والقوائم. لأنواع الموارد مميزاتٌ تحدِّدُ هُويّةَ اللصائق labels مثل CODE لكتل تعليمات البرنامج، وFONT للبنوط، وCURS لمنْزلقات الفأرة، وهكذا.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4009
"response time", "1 زمن الاستجابة ؛ 2 زمن الاستجابة","1- الزمنُ (غالباً القيمة الوسطى) المنصرمُ بين إصدارِ طلبٍ وتوفّرِ المعطيات المطلوبة (أو الإعلام بعدم إمكان توفرها). 2- الزمنُ اللازمُ لدارةِ ذاكرةٍ أو تجهيزةِ خزْنٍ لتقديم المعطيات التي طلبتْها وحدةُ المعالجة المركزية CPU.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4010
"restart", "يعيد البدء (الإقلاع)","انظر: reboot.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4011
"restore", "يسترجع","يَنسَخُ الملفّاتِ من تجهيزةِ خزْنٍ احتياطية إلى مواضعها الطبيعية، ولا سيما عندما تُنسَخُ تلك الملفاتُ للتعويض عن ملفاتٍ فُقِدَتْ أو حُذِفَتْ خطأً.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4012
"restricted function", "وظيفة (إجراء) مقيدة","وظيفةٌ أو عملية قابلةٌ للتنفيذ في شروطٍ معيّنة فقط، ولا سيما عندما تَكون وحدة المعالجة المركزية CPU في النمط ذي الامتياز.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4013
"right click", "ينقر يميناً","ينتقي بواسطةِ الزرِّ الأيمن للفأرة أو أيّ تجهيزة تأشير أخرى. يؤدّي ذلك في بيئةِ Windows 95 عموماً إلى جلْبِ قائمةٍ منبثقة مزوّدة بخيارات قابلة للتطبيق على الغرض الذي يقع المنْزلِقُ cursor فوقه.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4014
"right justification", "محاذاة يمينية","في التنضيد ومعالجة النصوص والنشر المكتبي: إجرائيةُ محاذاةِ النصّ بانتظام على طول الهوامش اليمنى لعمود أو صفحة؛ وتبقى الحافَةُ اليسرى دون محاذاة.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4015
"right-justify", "يحاذي يميناً","يحاذي أسطرَ النصّ وعناصر الإظهار الأخرى بحيث تأخذ الحافَاتُ اليمنى شكل خط أملس.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4016
"rigid disk", "قرصٌ صُلْب","انظر: hard disk.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4017
"ring network", "شبكة حلقية","شبكةٌ محليةٌ تتصل فيها التجهيزاتُ (العُقَد) ضمن حلقةٍ مغلقة. وتمرَّرُ الرسائلُ في الشبكة الحلقية من عقدة إلى أخرى باتجاهٍ واحد. وعندما تتسلّم العقدةُ الرسالةَ فإنها تتفحّص عنوانَ الوجهة المرفق. فإذا كان العنوانُ هو نفسُه عنوان العقدة، فإن العقدةَ تَقبل الرسالةَ، وإلا فإنها تُعيد توليدَ الإشارة وتمرِّرُ الرسالةَ إلى العقدةِ التالية في الحلقة. تَسمحُ عمليةُ إعادةِ التوليد هذه للشبكة الحلقية باستيعاب مسافةٍ أكبر من تلك التي تستوعبها الشبكة النجمية والمسروية. ويمكِن أيضاً تصميمُ الشبكة الحلقية بحيث تتخطّى أيَّ قصور ينجم في عقدة لا تعمل بكيفية سليمة أو تكون معطّلة. إلا أن طبيعة الحلقة المغلقة تجعل إضافةَ عُقَدٍ جديدة إلى الشبكة أمراً صعباً.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4018
"RIP", "معالج صورة تسامتية","انظر: raster image processor.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4019
"RISC", "حوسبة بمجموعة تعليمات مُصَغَّرة (موجزة)","مختصر: reduced instruction set computing. تصميمُ معالجٍ صِغريّ يركّز عنايته في المعالجة السريعة والفعّالة لمجموعةٍ صغيرة نسبياً من التعليمات البسيطة، التي تتضمن أغلب تعليمات الحاسوب التي يَفكّ ترميزَها ويُنفِّذها. يَستمثِلُ بنيانُ RISC كلاًّ من هذه التعليمات بحيث يستطيع تنفيذَها تنفيذاً سريعاً جداً (خلال دورة ميقاتية واحدة عادةً). لذلك فإن رقاقةَ RISC تُنفِّذ التعليماتِ البسيطةَ تنفيذاً أسرع من المعالِجات الصغرية CISC ذات الاستخدام العام (وهي الحوسبة بمجموعة تعليمات معقدة) والمصمَّمة لتولي مجموعة أوسع من التعليمات. ومع ذلك فهي أبطأُ من رقاقات CISC عندما تقوم بتنفيذ تعليمات معقدة، من الواجب تحليلها إلى عدة تعليمات آلة تستطيع معالجات RISC تنفيذها. تتضمن الرقاقاتُ من أسرة RISC المعالجات SPARC من شركة SUN، ومعالج 88000 من شركة Motorola وسلسلة المعالجات i860 من شركة Intel إضافة إلى المعالج PowerPC الذي طورته شركة Apple وIBM وMotorola.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4020
"Rivest-Shamir-Adleman encryption", "تعمية RSA","انظر: RSA encryption.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4021
"RJ-11 connector", "مربط RJ-11","انظر: phone connector.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4022
"RJ-11 jack", "ناشبة RJ-11","انظر: phone connector.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4023
"RLIN", "شبكة معلومات مكتبات البحوث","انظر: Research Libraries Information Network.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4024
"RLL encoding", "ترميز بطول شوط محدود","انظر: run-length limited encoding.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4025
"rlogin", "يطلب الدخول من بُعد","يَرتبطُ بحاسوبٍ في شبكة باستخدام ميفاق protocol طلب الدخول من بُعد rlogin.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4026
"rlogin", "1 طلب الدخول من بُعد ، 2 طلب الدخول من بُعد","1- ميفاقٌ protocol يُستخدَمُ لطلَبِ الدخولِ إلى حاسوب في شبكة حيث يقوم النظامُ المحليّ بتقديم اسمِ حساب المستخدِم آلياً.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4027
"RMM", "مطبِّق النمط الحقيقي","انظر: real-mode mapper.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4028
"RO terminal", "مطراف قراءة فقط","مختصر: read-only terminal. مطرافٌ يستطيعُ استقبالَ المعطيات ولا يمكِنه إرسالُها. يمكِن أن تصنَّفَ كلُّ الطابعات تقريباً على أنها مطاريفُ قراءة فقط.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4029
"robot", "رَبوط","آلةٌ يمكِنها التحسّسُ والتفاعلُ مع الدخل وتغيير الوسط المحيط بها بدرجة من الذكاء، ويَكون الأمر مثالياً عندما تتصرف دون إشراف بشري. صُمِّمت الربوطاتُ غالباً لتقلِّد حركات الإنسان في تنفيذ الأعمال، ومع ذلك فهي نادراً ما تشابه الإنسان في مظهرها الخارجي. تُستخدَمُ الربوطاتُ استخداماً شائعاً في تصنيع المنتجات مثل السيارات والحواسيب.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4030
"robotics", "ربوطية","فرعُ الهندسة المخصَّص لإنتاج الربوطات وتدريبها. يَعملُ العاملون في الربوطية في مجالٍ واسع من الحقول، كهندسة الميكانيك والإلكترونيات والسيبرنتيك والهندسة البيوإلكترونية والذكاء الصنعي، وغايتها جميعاً تزويد مبتكراتها بأكبر قدْرٍ ممكن من الدراية الحسية، والبراعة الطبيعية، والاستقلال، والمرونة.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4031
"robust", "متين ؛ منيع (حصين)","قابلٌ للعمل، أو الاستمرار في العمل جيداً في ظروف غير متوقعة.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4032
"role-playing game", "لُعبةُ لَعِب الأدوار","لعبةٌ تُلعَبُ على الخط online، يأخذ فيها المشاركون أدوارَ شخصياتٍ يتفاعل بعضها مع بعض. وغالباً ما تكون مواضيع هذه اللُّعَب من النوع الخيالي أو الخيال العلمي، ولها قواعد على جميع اللاعبين اتباعها.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4033
"rollback", "عودة [إلى وضع سابق]","عودةٌ إلى حالةٍ مستقرة سابقة، كاسترجاع محتويات قرص صُلبٍ من خزْنٍ احتياطي بعد خطأٍ مخرِّبٍ للقرص الصُّلب.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4034
"ROM", "1 [ذاكرة] ROM ؛ 2 [ذاكرة] ROM","1- مختصر: read-only memory. دارةٌ نصفُ ناقلة يُخزَّنُ فيها رِمَازٌ code أو معطياتٌ تخزيناً دائماً خلال إجرائية التصنيع. يُعدّ استخدامُ هذه التقانة مجدياً اقتصادياً إذا طُلبَ تصنيعُ كميةٍ كبيرة من الرقاقات. أما في التصاميم التجريبية أو الإنتاج الصغير الحجم فيفضَّل التعامل مع PROM أو EPROM. 2- مختصر: read-only memory. أيُّ دارةٍ نصفِ ناقلة تَعملُ ذاكرةً، وتحتوي على تعليمات أو معطيات يمكِن قراءَتُها ولا يمكِن تعديلُها (سواء وُضعت أثناء إجرائية التصنيع أو أثناء البرمجة كما هو الحال في PROM وEPROM).", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4035
"ROM BASIC", "[مفسِّرلغة] BASIC المخزَّن في ROM","مفسِّرٌ لِلُغةِ BASIC مخزَّنٌ في ROM (ذاكرة قراءة فقط) بحيث يستطيعُ المستخدِمُ البدءَ بالبرمجة بعد تشغيل الحاسوب مباشرة دون الحاجة إلى إيساق BASIC من قرص أو شريط. كان ROM BASIC سمةً مميزةً للعديد من الحواسيب المنْزلية.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4036
"ROM BIOS", "BIOS المخزَّن في ROM","مختصر: read-only memory basic input/output system. انظر: BIOS.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4037
"ROM card", "بطاقة ROM","نَسِيقَةٌ module ذات قابس، تتضمَّن نوعاً أو أكثر من بنوط الطباعة أو البرامج أو اللُّعَب أو معلومات أخرى مخزَّنة في ROM (ذاكرة قراءة فقط). إن حجمَ بطاقةِ ROM هو عادةً بحجم بطاقة الائتمان، إلا أن سُمْكها أكبر بعدة مرات، وتستطيعُ تخزينَ المعلومات مباشرةً في بطاقات الدارات المتكاملة.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4038
"ROM cartridge", "حافظة ROM","نَسِيقَةٌ module ذات قابس، تتضمّن نوعاً أو أكثر من بنوط الطباعة أو البرامج أو اللُّعَب أو معلومات أخرى مخزَّنةً في ROM (ذاكرة قراءة فقط) متوضعة على بطاقة محتواة في علبة بلاستيكية، ولها من أحد أطرافها مربطٌ يمكِن إدخالُه بسهولةٍ في الطابعات أو الحواسيب أو نظم اللُّعَب أو أيِّ تجهيزات أخرى. فمثلاً، الحافظة التي يمكن إدخالها في نظام لُعَب هي حافظةُ ROM.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4039
"ROM emulator", "مقلِّد (مضاه) ROM","دارةٌ خاصّةٌ تحوي ذاكرةَ RAM موصولة بحاسوب مستهدَف، بدلاً من رقاقات ROM في ذلك الحاسوب. يَكتبُ حاسوبٌ منفصلٌ آخرُ محتويات الـ RAM، فيقرأ الحاسوبُ الأول محتويات الـ RAM وكأنها ذاكرة ROM. تُستخدَمُ مضاهياتُ ROM الحقيقية لتنقيح البرامج القاطنة في ROM دون الحاجة إلى كلفة كبيرة أو تأخير في تصنيع الرقاقات. ومع أن استخدامَ مضاهي ROM الحقيقي أكثرُ كلفةً من برمجةِ ذواكر من نوع EPROM فإن من المفضَّل استخدامه حالياً، لأنه يمكِّن من تغيير محتويات ROM بطريقة أسرع بكثير من الذواكر EPROM.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4040
"root", "جذر","المستوى الرئيسُ أو الأعلى في تنظيمٍ تراتبيّ لمجموعة من المعلومات. والجذرُ هو النقطةُ التي تتفرع منها المجموعاتُ الفرعية في تتالٍ منطقيّ ينطلق من النظرة العريضة إلى تركيز أضيق.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4041
"root account", "حسابُ الجذر","حسابٌ في نظامِ UNIX يُشرِفُ على عمليات الحاسوب. يَستخدِمُ قيِّمُ النظام هذا الحسابَ لصيانة النظام.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4042
"root directory", "دليل 'الجذر'","نقطةُ الدخولِ إلى شجرةِ الدليل في بنيةِ أدلةٍ تراتبية تَعتمد على الأقراص. يَتفرع من ذلك الجذر أدلةٌ متعددةٌ وأدلةٌ فرعيةٌ مختلفة، يمكِن أن يحويَ كلٌّ منها ملفّاً أو أكثرَ أو دليلاً فرعياً أو عدّة أدلة فرعية خاصة به. فدليلُ الجذر في نظام تشغيل MS-DOS مثلاً، معرَّفٌ باسمٍ يشتمل على المائلة المعاكسة (\). وتوجد بعد دليل الجذر أدلةٌ أخرى قد تتضمّن بدورها أدلةً أخرى، وهكذا.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4043
"root name", "اسمُ الجذر","في MS-DOS وWindows: الجزءُ الأولُ من اسم ملف. طولُ اسم الجذر الأعظمي في MS-DOS والإصدارات الأولى من Windows هو ثمانية محارف على الأكثر، أما طول اسم الجذر في Windows NT والإصدارات المتأخرة من Windows فيصل إلى 255 محرفاً.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4044
"ROT13 encryption", "تعمية [بطريقة] ROT13","طريقةُ تعميةٍ بسيطة يُستعاض فيها عن كلِّ حرفٍ بالحرفِ الثالث عشر الذي يتلو الحرفَ الأصلي، وبذلك يَحلُّ الحرفُ N من الأبجدية اللاتينية محلَّ الحرف A، ويحل A محل N، ويحل M محل Z. لا تُستخدَمُ هذه الطريقةُ لحماية الرسائل من القرّاء غير المخوَّلين، بل تُستخدَمُ في مجموعاتٍ أخباريةٍ لترميز الرسائل التي قد لا يرغب بعضهم في قراءتها، من قبيل الطرائف الجنسية. يستطيعُ بعضُ قارئي الأخبار تنفيذَ التعمية ROT13 وفكَّ التعمية آلياً بكبسة زرّ.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4045
"rotate", "1 يدوِّر ؛ 2 يدوِّر","1- يدوِّرُ نموذجاً أو صورةً بيانية لرؤيتها من زاوية أخرى. 2- يُحرِّك بتّاتٍ ضمن سجل إلى اليسار أو اليمين. فالبتّ الذي يتحرّكُ خارجَ نهاية السجل يُدوَّر إلى الموضع الجديد الشاغر في النهاية الأخرى للسجل.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4046
"rotational delay", "تأخير التدوير (الدوران)","الزمنُ اللازمُ ليَدورَ قطاعُ قرصٍ نحو رأس القراءة/الكتابة.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4047
"round", "يدوِّر [العدد]","يُقصِّرُ الجزءَ الكسريَّ من عدد، ويكون ذلك عادةً بإضافةِ (أو عدم إضافة) 1 إلى آخر خانة يمنى متبقية، حسبما يَكون الجزءُ المحذوف أكبر أو أصغر من 5. فمثلاً، يُدوَّر العددُ 0.3333 إلى عددٍ برقمين عشريين فيصبح 0.33، ويُدوَّر 0.6666 فيصبح 0.67. وغالباً ما تُدوِّر البرامجُ الحاسوبيّةُ الأعدادَ مسبّبةً التباساً في بعض الأحيان، وذلك عندما لا تُجمَعُ القيمُ الناتجة جمعاً صحيحاً. فقد يصبح مجموعُ النسب المئوية في وريقات الجدولة spreadsheet مساوياً 99 أو 101 بسبب أخطاء التدوير.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4048
"round robin", "تعاقب دوراني","تَحصيصٌ حلقيٌّ تتابعيّ للموارد لأكثر من معالج أو إجرائية أو تجهيزة.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4049
"routable protocol", "ميفاق مسيَّر","ميفاقُ اتصالاتٍ يُستخدَمُ لتسيير المعطيات من شبكة إلى أخرى بواسطة عنوان شبكة وعنوان تجهيزة. يُعدّ TCP/IP مثالاً على الميفاق المسيَّر.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4050
"router", "مسيِّر","تجهيزةٌ وسيطةٌ في شبكة اتصالات تتولّى عمليةَ تسليم الرسائل. وفي شبكة وحيدة تربط عدة حواسيب عبر شبكة من الارتباطات: يَتَسلَّمُ المسيِّرُ الرسائلَ المرسَلة ويوجّهها إلى وجهتها الصحيحة عبر أكثر الطرق المتاحة فعالية. أما في مجموعة شبكات محلية LAN مترابطة تستخدم ميفاق الاتصالات نفسه، فإن المسيِّرَ يقوم بوظيفةٍ مختلفة قليلاً، إذ يؤدّي دورَ الوصلة بين الشبكات LAN، فيسمح بإرسال الرسائل من شبكة إلى أخرى.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4051
"routine", "مَسَاق","أيُّ مقطعٍ من الرِّمَازِ code يمكِن أن يُطلَبَ (يُنفَّذ) ضمن برنامج. لِلمَساقِ عادةً اسمٌ (معيِّن) مرتبطٌ به، ويُنفَّذ بالإشارة إلى ذلك الاسم. تَرتبطُ بالمَساق مصطلحاتٌ كالوظيفة والإجراء والمَساقِ الفرعيّ subroutine (يمكن أن تكون مترادفات دقيقة أو لا تكون، حسب السياق).", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4052
"source file", "ملفٌّ مصدريّ","في أوامر MS-DOS وWindows المتعلّقة بنسْخ المعطيات أو تعليمات البرنامج: الملفُّ المحتوي على المعطيات أو التعليمات المنسوخة.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4053
"source language", "لغة مصدرية","لغةُ البرمجةِ التي يُكتَبُ بها الرِّمَازُ المصدريُّ source code لبرنامج.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4054
"source program", "برنامج مصدري","إصدارٌ لبرنامجٍ مكتوب بالرِّمَازِ المصدريّ source code.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4055
"source statement", "عبارة مصدرية","عبارةٌ مفردةٌ في الرِّمَازِ المصدريِّ source code لبرنامج.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4056
"space character", "محرف 'فراغ'","محرفٌ يُدخَلُ من لوحة المفاتيح بالضغط على مفتاح 'الفراغ'، يَظهر على الشاشة كفراغ أبيض عادةً.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4057
"space-division multiplexing", "تضميم باقتسام الفضاء","مختصره: SDM. أولُ شكلٍ مؤتمت من أشكال تضميم الاتصالات، حَلَّ مكانَ لوحة مفاتيح التبديل الخاصة بعامل المقسم. استُبدل التضميم باقتسام الفضاء وحلَّ مكانه التضميم باقتسام التردد FDM الذي استُبدل بدوره وحلَّ مكانه التضميم باقتسام الزمن TDM.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4058
"Spacebar", "مفتاح 'الفراغ'","مفتاحٌ طويلٌ يَشغلُ حيّزاً كبيراً من الصفّ السفلي في معظم لوحات المفاتيح، يرسِلُ محرفَ الفراغ إلى الحاسوب.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4059
"spaghetti code", "رِمَازٌ متشابك","رِمَازٌ يَنتُجُ عن مخططٍ انسيابي كثير الالتفاف لبرنامج، بسبب الاستخدام المفرط أو غير الملائم لعبارة GOTO أو JUMP.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4060
"span", "باع","انظر: range.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4061
"SPARC", "بنيان معالج سُلَّمي","مختصر: Scalar Processor Architecture. معالِجٌ صِغريٌّ من نمط RISC (حوسبة بمجموعة تعليمات مُصَغَّرة) ذو 32 بتّ، من شركة Sun Microsystems.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4062
"sparse array", "صفيفة مخلخلة (متناثرة)","صفيفةٌ (ترتيبة بنود) فيها كثيرٌ من المداخل المتساوية، وتساوي غالباً الأصفار. ومع أنه من غير الممكن أن نعرِّف بدقّة متى تكون صفيفةٌ ما مخلخلةً، فإن من الواضح أنه عند حدٍّ ما (عادةً حين يكون ثلث الصفيفة حاوياً مداخلَ متساوية) تصبح الصفيفة جديرةً بأن يعاد تعريفها.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4063
"spatial data management", "إدارة المعطيات الفضائية","تمثيل المعطيات كجَمْعَةٍ من الأغراض في الفضاء (مثل قُوَنٍ icons على الشاشة)، وذلك بغيةَ جعل المعطيات أسهل للاستيعاب والتعامل.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4064
"spatial digitizer", "«مرقمن» فضائي","ماسِحٌ للأبعاد الثلاثة، يُستخدَمُ غالباً في الأعمال الطبية والجغرافية.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4065
"special character", "محرف خاص","أيُّ محرفٍ من المحارف غير الأبجدية أو الرقمية أو محرف الفراغ (أيْ محارف علامات الترقيم).", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4066
"special interest group", "جماعة ذات اهتمام خاص","انظر: SIG.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4067
"special-purpose language", "لغة ذات استخدام خاص","لغةُ برمجةٍ تركيبُها النحوي ودلالتُها هما أفضل ما يكون من أجل حقل معطى أو نَهْج معيّن.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4068
"specification", "1 توصيف ؛ 2 مواصفة ؛ 3 توصيف ؛ 4 توصيف","1- وصفٌ تفصيلي لشيء ما. 2- في إطار العتاديات الحاسوبية: بندُ معلومات بخصوص مكونات الحاسوب وإمكاناته وسماته. 3- في إطار البرمجيات: وصفٌ لبيئة تشغيل برنامج جديد ولسماته المقترحة. 4- في معالجة المعلومات: وصفٌ لتسجيلاتِ records المعطيات وللبرامج وللإجراءات المتضمنة في مهمة معيّنة.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4069
"time out", "انقضاء المهلة [المحدّدة]","حَدَثٌ يَدلُّ على انقضاء مهلةٍ محددة سلفاً من الزمن دون وقوعِ حوادثَ أخرى متوقعة. يُستخدَمُ حدثُ انقضاء المهلة لمقاطعةِ إجرائيةٍ في حالة انتظارٍ لحدثٍ متوقعٍ آخر. فمثلاً، قد يَسمح نظامُ اتصالٍ هاتفي من بُعد للمستخدِم بالدخول خلال 60 ثانية من لحظة إنشاء الاتصال. وإذا أخفقَ المستخدِمُ في إدخالِ كلمةِ دخولٍ وكلمةِ عبورٍ صالحتَين، فإن الحاسوبَ يقطع الاتصالَ، حامياً بذلك نفسَه من المخترقين ومحرِّراً خطّاً هاتفياً كان ممكناً أن يبقى محجوزاً.", https://scs.org.sy/scs/qamous/search?q=scs/qamous/showterm/4070
