restorer,restaurateur,مرمّم,من يحترف إصلاح القطع الفنية أو المباني الأثرية أو المخطوطات بإعادتها إلى حالتها الأولى.
farmer,fermier,مزارع,صاحب مزرعةٍ أو مستثمرها.
decorator,decorateur,مزخرف,من يعمل في تزويق أماكن السكن أو العمل بعناصر أو أشياء تضفي عليها مسحة جمالية.
maker up,maquilleur,مزوّق,من حرفته تجميل بشرة الوجه وتزيينها وتطريتها باستخدام المساحيق.
nailer,cloutier,مساميريّ,صانع المسامير أو بائعها.
investor,investisseur,مستثمر,من يوظف أمواله في مشاريع إنتاجية.
counselor,conseiller ,مستشار,ﺧﺒير ٌ ﻳُﺮﺟَﻊ إﻟﻴﻪ في داﺋﺮة اﺧﺘﺼﺎﺻﻪ
explorer,explorateur,مستكشف,من يقوم برحلات بغرض الدراسة أو الاستكشاف.
warper,ourdisseur,مسدّي,عامل أسدية (ج، سدى) في الأنوال.
surveyor,arpenteur,مسّاح,من يحسب مساحات الأراضي ويبين حدودها.
arboriculturist,arboriculteur,مشجّر,من يعمل في غرس الأشجار ورعايتها.
greaser,graisseur,مشحّم,المكلف تشحيم الآلات وتليينها بالزيوت الاصطناعية.
combmaker,peignier,مشّاط,صانع الأمشاط أو بائعها.
corrector,correcteur,مصحح,من يصحح الأخطاء المطبعية.
model designer,maquettiste,مصمم,من يخطط مجسمًا أوليًا لمشروع فني أو معماري أو نموذجًا طباعيًا لإعلان.
fashion designer,couturier,مصمم ازياء,صاحب مشغل أو مؤسسة لتصميم الملابس.
photographer,photographe,مصور,من حرفته التصوير.
speculator,speculateur,مضارب,من يعمل في تشغيل الأموال على الربح والخسارة.
hostess,hotesse,مضيفة,من تقوم على استقبال الركاب أو النزلاء وخدمتهم.
miller,minotier,مطاحنيّ,صناعي يختص بإنشاء المطاحن الآلية وإدارتها.
manicurist,manucure,مطرّف,من يعتني بتقليم أظافر اليدين وتزيينها.
parachutist,parachutiste,مظلّي,من يختص بالهبوط بالمظلة من الطائرة.
miner,mineur,معدّن,من يخرج المعدن من المناجم.
goatherd,chevrier,معّاز,من يربي المعزى أو يرعاها.
riding master,ecuyer,معلم فروسية,معلم ركوب الخيل ورياضة الفروسية.
sifter,bluteur,مغربل,من صناعتة تنقية الحبوب من الشوائب بالغربال ونحوه.
singer,chanteur,مغني,من يحترف الغناء.
inspector,inspecteur,مفتش,المكلف التحقيق في قضايا عدلية.
mosaic maker,mosaiste,مفصص – فسيفسائي,فني يصنع لوحات الفسيفساء الأرضية أو الجدارية.
silverer,argenteur,مفضّض,من يحلي الأشياء بطليها بالفضة.
presenter,presentateur,مقدّم برامج,من يتولى تقديم البرامج الإذاعية أو التلفزيونية من نشرات أخبار وبرامج حوارية وسواها.
navigator,navigateur,ملّاح,ﻣَﻦ ﻋﻤﻠﻪ ﻗﻴﺎدة اﻟﺴﻔﻦ.
aeronaut,aeronaute,ملّاح جوي,من يقود وسيلة نقل جوي.
salt merchant,salinier,ملاحاتي,من يعمل في صناعة الملح استخراجًا وإعدادًا للبيع.
solderer,soudeur,ملحّم,من حرفته وصل المعادن بالحرارة أو بغيرها.
attache,attache,ملحق,موظف منتدب إلى سفارة أو هيئة دبلوماسية للقيام بمهمة محددة (كالملحق الثقافي أو الملحق العسكري).
prompter,souffleur,ملقن,مساعد الممثل المسرحي في تذكر النص.
actor -  representant,acteur -  representant,ممثل,    1- من يزاول مهنة التمثيل على المسرح أو السينما أو التلفاز.    2-  من يفوّضه الجهة التي يعمل لديها لينوب عنها. 
nurse,infirmier,ممرض,شخص مؤهل يقوم بخدمة المرضى والسهر على علاجهم تحت إشراف طبي.
financier,financier,ممول,من يملك المال ويعمل في توظيفه.
towncrier,cireur public,منادي,من يُكلَّف بالنداء لإعلان أخبار أو بيانات للعامة.
filmmaker,cineaste,منتج سينمائي,من يدير او يملك مؤسسة للانتاج السينمائي
upholsterer,matelassier,منجد,من يصنع الفُرش ويحشو الوسائد والحشايا ويخيطها.
astrologer,astrologue,منجّم,من يدعي قراءة الغيب بالنظر في النجوم حسب مواقعها ومسارها.
delegate,delegue,مندوب,الممثل أو المفوض عن بلد أو مؤسسة في مؤتمر أو اجتماع أو عمل أو اتفاقية بين طرفين.
typographer,typegraphe,منضّد,من يصف الحروف يدويًا أو آليًا لتجهيزها للطباعة.
warper,lissier,منيّر,من يعمل على النِّيَرة؛ وهي من أدوات النساج.
engineer,ingenieur,مهندس,المتخصص في أحد العلوم الهندسية.
landscape designer,paysagiste,مهندس حدائق,من يقوم بتخطيط الحدائق وتنسيقها.
agronomist,agronome,مهندس زراعي,المتخصص في العلوم الزراعية.
supplier,fournisseur,موّرد,من يزور الباعة والمستهلكين بالسِّلَع.
deliveryman,livreur,موّزع,من يقوم بتسليم البضائع للزبائن وتجار التجزئة.
composer,compositeur,موسيقار,من يؤلف ألحانًا موسيقية.
musician,musicien,موسيقيّ,من حرفته عزف الألحان أو تأليفها.
employee,employe,موظف,من يعمل لدى مؤسسة حكومية أو أهلية أو أفراد، ويتقاضى أجرًا شهريًا.
mechanic,mecanicien,ﻣﻴﻜﺎﻧﻴﻜﻲّ,من حرفته صيانة الآلات وإصلاحها.
waiter,garcon de cafe,نادل,من يقوم على خدمة الناس في الأكل أو الشراب في الأماكن العامة والخاصة.
publisher,editeur,ناشر,من يقوم على نشر الكتب وبيعها.
critic,critique,ناقد,من ينظر في العمل الفني أو الأدبي ويحكم عليه.
carrier,transporteur,ناقل,مؤسسة تعمل في مجال نقل المسافرين أو البضائع.
flutist,flutiste,ناياتي,اﻟﻌﺎزف ﻋلى اﻟﻨﺎي.
sculptor,sculpteur,نحّات,من مهنته النحت، وهو إعطاء الحجر أو المعادن أشكالًا فنية.
coppersmith,dinandier,نحّاس,صانع الادوات النحاسية و بائعها
beekeeper,apiculteur,نحّال,مربي النحل و مستثمره
grammarian,grammairien,نحويّ,خبير في قواعد اللغة و تراكيبها
carder,cardeur,نداف,من ينفش القطن يدويًا أو آليًا.
inkeeper,aubergiste,نزلي,صاحب النزل، وهو الفندق.
genealogist,genealogiste,نسّابة,العالم بأنساب الأسر والقبائل وصلات القرابة بينها.
copier,copiste,نساخ,ﻣَﻦ ﻳﻨﻘﻞ ﻛﺘﺒﺎ ً وﻧﺼﻮﺻﺎ ً ﺑﺨﻂ ﻳﺪه.
sawyer,scieur,نشار,من يحترف تقطيع الخشب بالمنشار و اعداده للتصنيع
optician,opticien,نظّاراتي,المتخصص في البصريات و العدسات الطبية
shoemaker,cordonnier,نعّال,صانع الاحذية و مصلحها
glassblower,souffleur,نفاخ الزجاج,من يعطي شكلا للزجاج المصهور بالنفخ
engraver,graveur,نقّار,النقاش ولا سيما في الحجر
metal engraver,ciseleur,نقّاش,من حرفته النقش على المعادن لتزيينها
boater,canotier,نوتيّ,من يقود قاربا نهريا
weaver,tisserand,نوّال,النسّاج او الحائك اليدوي
documentalist,documentaliste,وﺛﺎﺋﻘﻲّ,من يقوم ببحث الوثائق ويصنفها لمصلحة جهه ما
editor,editeur,ورّاق,من حرفته الوراقة و هي صناعة الكتب نسخا و بيعا
weigher,peseur,قبّانيّ,من يقدر ثقل الاشياء بوساطة الميزان او القبان
broker,courtier,وسيط,من يسهل الصفقة بين البائع و المشتري
agent,agent,وكيل,من يمثل شركة او مؤسسة في عمل ما
